"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Iigp1","Group_safe",0.393612393165893,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.684841888670954,-0.546157147339856
"Ik","Group_safe",0.178950065514174,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.933844418117775,-0.0987458831821828
"Ikbip","Group_safe",0.444065483756542,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.941249235613246,-0.0873513067122808
"Ikbkap","Group_safe",0.778312064241659,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0203539759736,0.0290697314029702
"Ikbkb","Group_safe",0.988370672623164,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.999340850623581,-0.000951265083911111
"Ikbke","Group_safe",0.929234116419458,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.01113340942853,0.0159733596772843
"Ikbkg","Group_safe",0.532218906991783,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.940717181821355,-0.0881670400647848
"Ikzf2","Group_safe",0.310655957433107,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.838032385542932,-0.254922097311919
"Ikzf4","Group_safe",0.3347929271049,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.657400830386757,-0.605154816147722
"Ikzf5","Group_safe",0.268036816991944,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.864019276935145,-0.210864594502675
"Il10rb","Group_safe",0.789889472236581,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02040848028909,0.0291467938807083
"Il11","Group_safe",0.257652104677697,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.817283692226976,-0.291091147083447
"Il11ra1","Group_safe",0.330027395913968,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.08933866736801,0.123452547052402
"Il12a","Group_safe",0.203506496539947,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.14473947021634,0.195019294571156
"Il12rb1","Group_safe",0.288438305316433,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.877817526039941,-0.188007020316946
"Il12rb2","Group_safe",0.246404235674951,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.718103404099136,-0.477736493401984
"Il13ra1","Group_safe",0.23547173885705,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.848756005827216,-0.236578216933251
"Il13ra2","Group_safe",NA,NA,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.43819350941332,-1.190359979812
"Il15","Group_safe",0.813830483316098,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.967869829248091,-0.04711506528652
"Il15ra","Group_safe",0.984098262073962,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00424326400587,0.00610878449224311
"Il16","Group_safe",0.488835291831128,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.11237785682427,0.153646931559396
"Il17b","Group_safe",0.473139144329309,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.38599460322307,0.470921639929334
"Il17d","Group_safe",0.984646189310778,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.993785325100858,-0.00899385664245879
"Il17ra","Group_safe",0.795325243704909,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02290316420612,0.0326695750615893
"Il17rc","Group_safe",0.284525324415924,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.05767034763586,0.0808900414988629
"Il17rd","Group_safe",0.0509000644532525,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.13669736195554,0.184848197481178
"Il17re","Group_safe",0.479951184540874,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.17480736587186,0.232424216292508
"Il18","Group_safe",0.121561189192432,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.14804257874382,0.199176149856292
